best_value,firstgen_with_best_value,population_gen_type,problem_type,convergence_array,problem_number
3868,5,2,knapsack,"[3440, 3548, 3781, 3833, 3861, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868]",7
3772,6,0,knapsack,"[3281, 3229, 3493, 3613, 3749, 3753, 3772, 3772, 3772, 3772, 3767, 3764, 3767, 3767, 3767, 3767, 3767, 3767, 3767, 3767, 3767, 3766, 3755, 3766, 3766, 3766, 3752, 3755, 3766, 3764, 3764, 3766, 3766, 3766, 3766, 3766, 3766, 3764, 3755, 3764, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752, 3752]",6
3387,6,1,knapsack,"[2890, 3076, 3172, 3288, 3358, 3378, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3387, 3386, 3387, 3387, 3387, 3387, 3387, 3387]",8
3868,6,0,knapsack,"[3367, 3509, 3696, 3782, 3835, 3861, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868, 3868]",7
3392,4,2,knapsack,"[3177, 3329, 3320, 3388, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392]",8
3392,6,0,knapsack,"[3010, 3073, 3256, 3310, 3356, 3387, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392, 3392]",8
3614,6,1,knapsack,"[3195, 3210, 3407, 3534, 3590, 3611, 3614, 3614, 3614, 3614, 3614, 3614, 3614, 3614, 3614, 3614, 3607, 3614, 3614, 3614, 3614, 3602, 3614, 3614, 3614, 3614, 3614, 3614, 3614, 3614, 3614, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602, 3602]",9
3618,6,2,knapsack,"[3274, 3404, 3506, 3573, 3611, 3614, 3618, 3614, 3615, 3611, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606]",9
4247,7,1,knapsack,"[3533, 3563, 3808, 3985, 4091, 4202, 4209, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247, 4247]",10
3612,6,0,knapsack,"[3252, 3271, 3462, 3529, 3584, 3602, 3612, 3608, 3612, 3608, 3608, 3612, 3612, 3612, 3612, 3612, 3612, 3612, 3612, 3612, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606, 3606]",9
